"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Draven","ADC",1,"1.4%","0.0%","1.4%","100%","100%",6,4,8,3.5,"63.6%","30.8%","0%",835,317,12,9,"27.1%",900,"40.5%","25.6%",0.42,0.57
"Ekko","Middle",1,"1.4%","0.0%","1.4%","100%","100%",6,1,8,14,"60.9%","7.1%","0%",-110,868,10,8.9,"27.3%",922,"33.4%","25.0%",0.2,0.24
"Evelynn","Jungle",1,"1.4%","2.7%","4.1%","0%","100%",19,8,4,2.9,"59.0%","21.1%","100%",1377,296,-4,4.7,"14.8%",976,"34.9%","23.5%",0.13,0.1
"Ezreal","ADC",9,"12.2%","2.7%","14.9%","78%","67%",40,20,63,5.2,"68.2%","16.3%","0%",32,103,-0.4,8.4,"29.3%",810,"33.7%","25.2%",0.35,0.24
"Fiora","Top",2,"2.7%","5.4%","8.1%","50%","0%",8,8,10,2.3,"50.0%","20.5%","0%",175,290,10,7.9,"23.6%",504,"26.0%","23.5%",0.35,0.16
"Fizz","Middle",1,"1.4%","0.0%","1.4%","100%","100%",13,3,14,9,"79.4%","27.3%","0%",567,48,-20,7.4,"28.1%",968,"30.8%","26.1%",0.12,0.15
"Galio","Middle",2,"2.7%","1.4%","6.8%","50%","100%",2,3,10,4,"63.2%","14.3%","0%",-505,-299,-4.5,7.4,"20.9%",276,"19.9%","20.2%",0.48,0.09
"Galio","Support",2,"2.7%","1.4%","6.8%","50%","100%",2,7,24,3.7,"76.5%","23.3%","50%",-156,-112,6.5,1.4,"4.8%",214,"9.0%","9.4%",1.49,0.39
"Gangplank","Top",9,"12.2%","12.2%","24.3%","33%","44%",19,36,56,2.1,"68.8%","23.5%","33%",224,195,7.6,8,"26.7%",516,"29.4%","25.3%",0.48,0.09
"Garen","Jungle",1,"1.4%","1.4%","2.7%","100%","100%",4,2,14,9,"58.1%","14.3%","0%",-571,-896,-16,5.9,"15.4%",445,"15.8%","18.4%",0.25,0.22
"Gnar","Top",26,"35.1%","28.4%","63.5%","50%","42%",58,71,163,3.1,"63.1%","19.9%","8%",-50,-50,2.8,7.6,"23.4%",408,"23.2%","22.2%",0.43,0.18
"Gragas","Support",2,"2.7%","4.1%","16.2%","50%","100%",2,14,22,1.7,"46.2%","22.6%","50%",330,605,-0.5,1.3,"4.5%",314,"10.7%","10.2%",1.41,0.33
"Gragas","Top",7,"9.5%","4.1%","16.2%","14%","71%",10,27,30,1.5,"65.6%","19.4%","0%",-367,-77,-9.9,6.2,"19.3%",399,"21.9%","19.5%",0.46,0.09
"Graves","Jungle",1,"1.4%","1.4%","2.7%","0%","100%",2,4,0,0.5,"33.3%","25.0%","0%",218,-637,-16,6.5,"24.9%",231,"20.5%","22.4%",0.21,0.42
"Hecarim","Jungle",40,"54.1%","43.2%","97.3%","48%","0%",94,118,333,3.6,"72.5%","19.2%","23%",-80,-133,-3.1,5.5,"15.5%",310,"14.9%","17.5%",0.34,0.31
